window_start,device_mac,anomaly_score,is_anomaly
1785314023.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314023.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314023.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314033.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314033.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314033.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314043.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314043.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314043.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314053.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314053.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314053.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314063.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314063.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314063.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314073.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314073.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314073.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314083.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314083.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314083.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314093.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314093.519992,08:00:27:8a:0d:75,0.008057789100377022,False
1785314093.519992,08:00:27:a5:9e:2d,0.007224539343260894,False
1785314103.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314103.519992,08:00:27:8a:0d:75,0.0744169450886229,False
1785314103.519992,08:00:27:a5:9e:2d,0.07408324057614829,False
1785314113.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314113.519992,08:00:27:8a:0d:75,0.0716186066938439,False
1785314113.519992,08:00:27:a5:9e:2d,0.0716186066938439,False
1785314123.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314123.519992,08:00:27:8a:0d:75,0.06986362190773815,False
1785314123.519992,08:00:27:a5:9e:2d,0.06855653193487538,False
1785314133.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314133.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314133.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314143.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314143.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314143.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314153.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314153.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314153.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314163.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314163.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314163.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314173.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314173.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314173.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314183.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314183.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314183.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
1785314193.519992,08:00:27:5a:87:bc,0.10106695228638912,False
1785314193.519992,08:00:27:8a:0d:75,0.10106695228638912,False
1785314193.519992,08:00:27:a5:9e:2d,0.10106695228638912,False
