window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785423696.155571,08:00:27:a5:9e:2d,11,976,0.4100537061691284,0.4437434371862396,0,0.0,0,0.0,0.0,0.00021976232528686523,0.44263038548752837
1785423701.155571,08:00:27:34:35:33,4,392,1.0243629614512126,0.00030955151198067945,0,0.0,0,0.0,0.0,7.200241088867188e-05,1.0
1785423701.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423701.155571,08:00:27:8a:0d:75,5,490,1.023899793624878,0.00038405385052547446,0,0.0,0,0.0,0.0,,1.0
1785423701.155571,08:00:27:9c:f0:f1,4,392,1.0244193077087402,0.00041395745775090587,0,0.0,0,0.0,0.0,,1.0
1785423701.155571,08:00:27:a5:9e:2d,5,490,1.0239027738571167,0.00046542257770887814,0,0.0,0,0.0,0.0,0.00011515617370605469,1.0
1785423706.155571,08:00:27:34:35:33,4,392,1.0253556569417317,0.0016153067864678708,0,0.0,0,0.0,0.0,0.00013697147369384766,1.0
1785423706.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423706.155571,08:00:27:8a:0d:75,9,2107,0.5120105147361755,0.5039689691506071,0,0.0,0,0.0,0.0,,2.3997722095671983
1785423706.155571,08:00:27:9c:f0:f1,4,392,1.0253483454386394,0.0016558337941216534,0,0.0,0,0.0,0.0,,1.0
1785423706.155571,08:00:27:a5:9e:2d,10,878,0.45512543784247506,0.5016705556869498,0,0.0,0,0.0,0.0,0.00011670589447021484,0.4167062173706692
1785423711.155571,08:00:27:34:35:33,4,392,1.0236036777496338,0.00020351685123197553,0,0.0,0,0.0,0.0,0.00014322996139526367,1.0
1785423711.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423711.155571,08:00:27:8a:0d:75,5,490,1.0241097211837769,0.00029337411002383867,0,0.0,0,0.0,0.0,,1.0
1785423711.155571,08:00:27:9c:f0:f1,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423711.155571,08:00:27:a5:9e:2d,9,882,0.5495199859142303,0.2654951877496929,0,0.0,0,0.0,0.0,0.00016541481018066405,1.0
1785423716.155571,08:00:27:34:35:33,6,512,0.6079214096069336,0.4547241813640948,1,0.2,1,0.2,0.0,0.00011295080184936523,1.0
1785423716.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423716.155571,08:00:27:8a:0d:75,5,490,1.0159615278244019,0.008415331650431212,0,0.0,0,0.0,0.0,,1.0
1785423716.155571,08:00:27:9c:f0:f1,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423716.155571,08:00:27:a5:9e:2d,11,1002,0.4063955068588257,0.26550066696346525,1,0.2,1,0.2,0.0,0.00014657974243164061,1.0
1785423721.155571,08:00:27:34:35:33,5,490,1.0241102576255798,0.00020103722462586337,0,0.0,0,0.0,0.0,0.019336223602294922,1.0
1785423721.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423721.155571,08:00:27:8a:0d:75,5,490,1.0240124464035034,0.00026348006527474206,0,0.0,0,0.0,0.0,,1.0
1785423721.155571,08:00:27:9c:f0:f1,1,98,,,0,0.0,0,0.0,0.0,0.00011682510375976562,1.0
1785423721.155571,08:00:27:a5:9e:2d,11,1078,0.48204360008239744,0.18541089833282207,0,0.0,0,0.0,0.0,0.0001041412353515625,1.0
1785423726.155571,08:00:27:34:35:33,70,10510,0.061132593431334564,0.2371216946437114,0,0.0,0,0.0,0.0,0.0001236597696940104,0.007932123363763706
1785423726.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423726.155571,08:00:27:8a:0d:75,5,490,1.023989975452423,0.00016427302868835648,0,0.0,0,0.0,0.0,,1.0
1785423726.155571,08:00:27:9c:f0:f1,114,1325248,0.03685141664690676,0.17029441510119725,1,0.2,0,0.0,0.0,3.6764144897460935e-05,123.09567155861043
1785423726.155571,08:00:27:a5:9e:2d,14,1334,0.3707999266110934,0.13476618894645329,0,0.0,1,0.2,0.0,0.00011363029479980469,1.0
1785423731.155571,08:00:27:34:35:33,4,392,1.0194963614145915,0.006673989736784636,0,0.0,0,0.0,0.0,0.00013124942779541016,1.0
1785423731.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785423731.155571,08:00:27:8a:0d:75,6,1813,0.20856900215148927,0.4009754031596987,0,0.0,0,0.0,0.0,,3.1044520547945207
1785423731.155571,08:00:27:9c:f0:f1,9,882,0.5079303979873657,0.3262318336922676,0,0.0,0,0.0,0.0,0.0006775379180908204,1.0
1785423731.155571,08:00:27:a5:9e:2d,12,1074,0.3691327355124734,0.3801033265426292,0,0.0,0,0.0,0.0,0.00010395050048828125,0.46634824142422926
1785423736.155571,08:00:27:34:35:33,28,2225,0.15725470472265174,0.3269826831870528,0,0.0,0,0.0,0.0,0.002982795238494873,0.008395497749251952
1785423736.155571,08:00:27:5a:87:bc,0,0,,,0,0.0,0,0.0,0.0,,0.0
