window_start,device_mac,pkt_count,byte_count,mean_iat,std_iat,arp_req_count,arp_req_rate,arp_reply_count,arp_reply_rate,broadcast_ratio,avg_response_latency,send_recv_ratio
1785313338.519992,08:00:27:5a:87:bc,750,31730,0.006093003880356915,0.008830923944205791,739,147.8,10,2.0,0.9866666666666667,,10.0
1785313338.519992,08:00:27:8a:0d:75,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313338.519992,08:00:27:a5:9e:2d,0,0,,,0,0.0,0,0.0,0.0,,0.0
1785313343.519992,08:00:27:5a:87:bc,400,17296,0.011916866876128921,0.05581069073784093,384,76.8,10,2.0,0.97,,72.06666666666666
1785313343.519992,08:00:27:8a:0d:75,3,316,1.0243009328842163,0.007738947868347168,0,0.0,0,0.0,0.0,0.00014495849609375,0.5374149659863946
1785313343.519992,08:00:27:a5:9e:2d,3,316,1.0294114351272583,0.002698540687561035,0,0.0,0,0.0,0.0,,0.5374149659863946
1785313348.519992,08:00:27:5a:87:bc,383,16316,0.011096426329687627,0.06799975919665295,372,74.4,10,2.0,0.9738903394255874,,10.0
1785313348.519992,08:00:27:8a:0d:75,7,610,0.68230668703715,0.47135020653900056,1,0.2,1,0.2,0.0,0.00014119148254394532,0.6703296703296703
1785313348.519992,08:00:27:a5:9e:2d,7,610,0.6823180119196574,0.4713694158427935,1,0.2,1,0.2,0.0,,0.6703296703296703
1785313353.519992,08:00:27:5a:87:bc,753,31956,0.006311331340607176,0.009376087020277644,740,148.0,10,2.0,0.9840637450199203,,133.15
1785313353.519992,08:00:27:8a:0d:75,7,708,0.7480479876200358,0.2872175733879519,0,0.0,0,0.0,0.0,0.00017557144165039062,0.7224489795918367
1785313353.519992,08:00:27:a5:9e:2d,7,708,0.7498483260472616,0.28510974504403164,0,0.0,0,0.0,0.0,0.00012803077697753906,0.7224489795918367
1785313358.519992,08:00:27:5a:87:bc,269,11682,0.018539208974411237,0.10126209224284978,255,51.0,10,2.0,0.9553903345724907,,48.675
1785313358.519992,08:00:27:8a:0d:75,5,512,0.7676554918289185,0.31926511604231494,0,0.0,0,0.0,0.0,0.00015676021575927734,0.6530612244897959
